    IP,Date,Time,Accepted cookies,Device type,Browser language,Browser name,OS Name,Country,Region,RegionName,City,Zipcode,Lat,Lon
192.168.29.182,2025-01-15,03:21:09 UTC,["necessary"],desktop,en,Chrome,Linux,-,-,-,-,-,-,-
192.168.29.182,2025-01-27,04:00:52 UTC,["necessary"],desktop,en,Chrome,Linux,-,-,-,-,-,-,-
192.168.29.182,2025-02-18,09:46:53 UTC,["necessary"],desktop,en,Chrome,Linux,-,-,-,-,-,-,-
192.168.29.182,2025-03-28,03:45:22 UTC,["necessary"],desktop,en,Chrome,Linux,-,-,-,-,-,-,-
192.168.29.182,2025-04-10,03:49:42 UTC,["necessary"],desktop,en,Chrome,Linux,-,-,-,-,-,-,-
192.168.29.182,2025-05-26,03:52:30 UTC,["necessary"],desktop,en,Chrome,Linux,-,-,-,-,-,-,-
192.168.29.182,2025-05-29,05:08:52 UTC,["necessary"],desktop,en,Chrome,Linux,-,-,-,-,-,-,-
192.168.29.182,2025-06-03,09:41:09 UTC,["necessary"],desktop,en,Chrome,Linux,-,-,-,-,-,-,-
192.168.29.182,2025-06-04,04:49:14 UTC,["necessary"],desktop,en,Chrome,Linux,-,-,-,-,-,-,-
192.168.29.182,2025-06-04,06:16:57 UTC,["necessary"],desktop,en,Chrome,Linux,-,-,-,-,-,-,-
192.168.29.182,2025-06-05,03:47:39 UTC,["necessary"],desktop,en,Chrome,Linux,-,-,-,-,-,-,-
192.168.29.182,2025-06-06,09:40:03 UTC,["necessary"],desktop,en,Chrome,Linux,-,-,-,-,-,-,-
192.168.29.182,2025-06-09,03:44:55 UTC,["necessary"],desktop,en,Chrome,Linux,-,-,-,-,-,-,-
::1,2025-06-10,06:36:08 UTC,["necessary"],desktop,en,Chrome,Linux,-,-,-,-,-,-,-
